session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3130311;37;Cluster 1 (Majeur A);46852;20;-2
3130519;37;Cluster 1 (Majeur A);46450;3;1
3130827;37;Cluster 1 (Majeur A);50826;3;1
3131023;37;Cluster 1 (Majeur A);41620;83;1
3131064;37;Cluster 1 (Majeur A);50670;3;1
3131161;37;Cluster 1 (Majeur A);52522;83;1
3131172;37;Cluster 1 (Majeur A);48091;83;1
3131284;39;Cluster 2 (Majeur B);52254;298;1
3131289;39;Cluster 2 (Majeur B);52255;298;1
3131291;39;Cluster 2 (Majeur B);54809;394;1
3131298;39;Cluster 2 (Majeur B);48380;20;-2
3131330;39;Cluster 2 (Majeur B);48109;20;-2
3131444;37;Cluster 1 (Majeur A);54806;394;1
3131553;37;Cluster 1 (Majeur A);50670;3;1
3131647;37;Cluster 1 (Majeur A);56585;12;3
3131650;39;Cluster 2 (Majeur B);56585;12;3
3131692;37;Cluster 1 (Majeur A);46890;81;1
3131695;39;Cluster 2 (Majeur B);46890;81;1
3131716;39;Cluster 2 (Majeur B);54809;394;1
3131750;39;Cluster 2 (Majeur B);52521;10;1
3131773;39;Cluster 2 (Majeur B);41622;81;1
3131774;39;Cluster 2 (Majeur B);41559;81;1
3131789;39;Cluster 2 (Majeur B);46874;10;1
3131796;37;Cluster 1 (Majeur A);41559;81;1
3131800;37;Cluster 1 (Majeur A);41624;81;1
3131808;37;Cluster 1 (Majeur A);46829;3;1
3131813;37;Cluster 1 (Majeur A);46829;3;1
3131814;37;Cluster 1 (Majeur A);48117;10;1
3131823;37;Cluster 1 (Majeur A);48090;3;1
3131859;37;Cluster 1 (Majeur A);52519;3;1
3131888;39;Cluster 2 (Majeur B);41619;81;1
3131938;37;Cluster 1 (Majeur A);46450;3;1
3131953;37;Cluster 1 (Majeur A);52524;83;1
3132003;39;Cluster 2 (Majeur B);48112;10;1
3132004;39;Cluster 2 (Majeur B);48109;20;-2
3132035;37;Cluster 1 (Majeur A);48117;10;1
3132037;31;Cluster 3 (Mineur A);50440;83;1
3132062;39;Cluster 2 (Majeur B);46852;20;-2
3132098;39;Cluster 2 (Majeur B);41619;81;1
3132100;37;Cluster 1 (Majeur A);52523;83;1
3132105;37;Cluster 1 (Majeur A);52523;83;1
3132112;37;Cluster 1 (Majeur A);52524;83;1
3132125;37;Cluster 1 (Majeur A);46829;3;1
3132132;37;Cluster 1 (Majeur A);48090;3;1
3132141;31;Cluster 3 (Mineur A);50440;83;1
3132162;45;Cluster 5 (Outliers);41620;83;1
3132164;37;Cluster 1 (Majeur A);41620;83;1
3132396;31;Cluster 3 (Mineur A);50440;83;1
3132444;37;Cluster 1 (Majeur A);46450;3;1
3132446;37;Cluster 1 (Majeur A);52524;83;1
3132520;31;Cluster 3 (Mineur A);50440;83;1
3132620;39;Cluster 2 (Majeur B);52255;298;1
3132624;39;Cluster 2 (Majeur B);56585;12;3
3132638;37;Cluster 1 (Majeur A);46859;335;1
3132709;37;Cluster 1 (Majeur A);50378;277;3
3132712;39;Cluster 2 (Majeur B);52255;298;1
3132714;39;Cluster 2 (Majeur B);52255;298;1
3132739;36;Cluster 5 (Outliers);52438;303;3
3132768;37;Cluster 1 (Majeur A);41619;81;1
3132851;39;Cluster 2 (Majeur B);41624;81;1
3132857;39;Cluster 2 (Majeur B);56585;12;3
3132858;45;Cluster 5 (Outliers);56585;12;3
3132859;39;Cluster 2 (Majeur B);48260;161;1
3132863;39;Cluster 2 (Majeur B);41559;81;1
3132871;37;Cluster 1 (Majeur A);52519;3;1
3132894;37;Cluster 1 (Majeur A);41559;81;1
3132908;39;Cluster 2 (Majeur B);41623;161;1
3132935;39;Cluster 2 (Majeur B);45401;81;1
3133004;37;Cluster 1 (Majeur A);41622;81;1
3133048;37;Cluster 1 (Majeur A);50670;3;1
3133052;37;Cluster 1 (Majeur A);48112;10;1
3133105;37;Cluster 1 (Majeur A);54806;394;1
3133109;39;Cluster 2 (Majeur B);48260;161;1
3133239;37;Cluster 1 (Majeur A);52519;3;1
3133252;37;Cluster 1 (Majeur A);52519;3;1
3133292;37;Cluster 1 (Majeur A);52524;83;1
3133321;37;Cluster 1 (Majeur A);48112;10;1
3133442;37;Cluster 1 (Majeur A);46829;3;1
3133446;36;Cluster 5 (Outliers);52520;112;1
3133525;37;Cluster 1 (Majeur A);54811;83;1
3133526;37;Cluster 1 (Majeur A);52523;83;1
3133596;37;Cluster 1 (Majeur A);46829;3;1
3133661;39;Cluster 2 (Majeur B);48260;161;1
3133691;39;Cluster 2 (Majeur B);46852;20;-2
3133709;37;Cluster 1 (Majeur A);41623;161;1
3133837;31;Cluster 3 (Mineur A);50440;83;1
3133840;37;Cluster 1 (Majeur A);41621;83;1
3133863;37;Cluster 1 (Majeur A);52524;83;1
3133874;37;Cluster 1 (Majeur A);41559;81;1
3133884;37;Cluster 1 (Majeur A);41621;83;1
