,F_SESSION,k_aircraft,k_operator,k_mission,flight_document,cluster
0,3130311,46852,20,-2,2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 2_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 114_116_116_116_7 116_116_7_116_116 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 130_131_131_130_132 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 5_2_2_5_2 2_6_6_6_6 193_193_193_193_7 291_115_115_115_115 114_116_116_116_7 7_7_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 5_2_5_5_2 2_3_3_3_3 3_3_3_3_2 4_3_3_3_3 3_3_3_3_4 3_4_4_4_2 2_5_5_5_5 5_5_5_5_2 6_6_6_6_7 114_116_116_7_7 116_7_7_116_116 7_7_116_7_7 7_116_116_116_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 102_101_101_101_290 119_119_119_119_2 2_3_3_2_3 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 5_2_2_2_5 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 712_713_713_713_714 116_116_7_116_116 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 116_114_114_114_102 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_4_4_4_2 189_190_190_190_190 190_190_190_190_191,2
1,3130519,46450,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_5_5_4_5 4_5_5_5_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 1096_1097_1097_1096_1097 1129_1130_1130_1127_1126 1126_1128_1128_1128_1127 1128_1127_1127_1127_1128 1136_1137_1137_1137_1136 114_116_116_7_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1096_1125_1125_1125_1126 1208_1124_1124_1124_1207 1096_1207_1207_1207_1124 1097_1096_1096_1096_1097 1097_1208_1208_1208_1096 1207_1096_1096_1096_1207 1096_1207_1207_1207_1096 1209_1208_1208_1208_1096 1208_1096_1096_1096_1125 1125_1097_1097_1097_1209 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1313_1095_1095_1095_1098 1097_1096_1096_1096_1097 1207_1096_1096_1097_1124 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 3_4_4_4_3 4_2_2_2_4 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,3
2,3130827,50826,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 4_5_5_5_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 6_7_7_7_115 723_731_731_731_730 1096_1097_1096_1096_1097 1096_1097_1097_1097_1529 1096_1097_1097_1097_1096 1097_1096_1096_1097_1096 1096_1097_1097_1097_1096 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1096_1097_1097_1096_1097 1096_1097_1096_1096_1097 1096_1097_1096_1096_1097 1097_1096_1096_1097_1096 1096_1097_1097_1097_1096 1096_1097_1097_1097_1096 1096_1207_1207_1207_1096 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191 190_191_191_191_1038,3
3,3131023,41620,83,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_4 3_4_4_4_2 4_5_5_5_5 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 115_115_115_115_115 1904_1890_1890_1890_1904 1962_1941_1962_1962_1941 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 821_820_820_819_818 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,0
4,3131064,50670,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 1125_2475_2475_2475_1125 114_116_116_7_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1096_1097_1097_1096_1097 1207_1096_1096_1096_1097 1096_1097_1096_1096_1097 1097_1096_1096_1097_1096 1096_1126_1126_1126_1207 1096_1097_1097_1096_1097 1097_1096_1096_1096_1097 1124_1097_1097_1097_1096 1097_1096_1096_1126_1128 1097_1096_1096_1096_1097 1097_1096_1096_1096_1207 1096_1126_1126_1126_1097 1126_1097_1097_1097_1099 1127_1128_1128_1128_1127 1128_1338_1338_1338_1131 7_119_119_119_119 119_119_119_119_2 4_3_3_3_3 3_3_3_3_4 3_4_4_4_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 2_3_3_3_3 3_3_3_3_2,3
5,3131161,52522,83,1,2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 2299_2314_2313_2313_2314 2342_2343_2343_2329_2328 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 2_5_5_5_5 5_5_5_5_2 5_5_2_5_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
6,3131172,48091,83,1,2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_800 1511_1835_1835_1835_1511 2477_2799_2799_2799_2477 1974_3381_3381_3381_1974 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 3753_3747_3747_3747_3748 3772_3759_3759_3759_3760 3853_3858_3858_3858_3854 3898_2359_2359_2359_3571 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
7,3131284,52254,298,1,2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 2_6_6_6_6 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 4044_4044_4044_4044_4044 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 4078_4078_4079_4078_4078 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_4_4_5 5_4_4_5_4 4_5_4_4_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2,0
8,3131289,52255,298,1,2_3_3_3_3 3_3_3_3_2 3_2_2_3_2 4_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 3_4_4_4_3 4_3_3_3_3 3_3_3_3_4 115_115_115_115_115 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 164_1195_1195_1195_3665 3722_3723_3723_3723_3732 4364_3746_3746_3746_4364 4433_1730_1731_1731_1731 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 4_5_5_5_4 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190,0
9,3131291,54809,394,1,2_5_5_2_5 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_1770 1879_4494_4494_4494_4488 4530_2032_2032_2032_4542 2184_4632_4632_4632_2184 4632_2184_2184_2184_4632 4632_2184_2184_2184_4632 4632_2184_2184_2184_4632 4632_2184_2184_2184_4632 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190,0
10,3131298,48380,20,-2,2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 118_118_118_118_7 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190,2
11,3131330,48109,20,-2,2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 4_3_3_3_3 3_3_3_3_2 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2_6_6_6_6 6_6_6_6_7 115_115_115_115_7 291_115_115_115_115 115_115_115_115_115 115_115_115_115_7 115_291_291_291_1486 114_115_115_115_7 7_115_115_115_291 291_115_115_115_115 115_115_115_115_7 2881_2907_2907_2907_1676 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190,2
12,3131444,54806,394,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 3721_5640_5640_5640_3735 3735_4195_4195_3735_5640 4205_5641_4205_4205_5641 5641_4205_4205_5641_5642 5641_5642_5642_5641_5642 5642_5641_5642_5642_5641 5641_5642_5642_5641_4205 5641_5642_5642_5641_5642 5642_5641_5642_5642_5641 5641_5642_5642_5641_5642 5642_5641_5642_5642_5641 5641_5642_5642_5641_5642 5642_5641_5642_5642_5641 5641_5642_5642_5641_5642 5641_5642_5642_5641_4205 5641_4205_4205_5641_5642 3061_3060_3060_3060_3061 3390_4088_4088_4088_3390 7_119_119_119_119 5_4_5_5_4 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 4_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 2_4_4_4_2 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_5053 3044_2457_2457_2457_3044 2457_3043_3043_3043_3044 3044_2457_2457_2457_3044 2457_3044_3044_2457_3044 3044_2457_2457_2457_3044 2181_3045_3045_3045_2181 2181_3045_2181_2181_3045 3045_2181_2181_3045_2181 2192_2182_2182_2192_2182 2819_2820_2820_2820_2819 2842_2843_2843_2843_3081 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_193_193_193_193 193_193_193_193_7 4632_2184_2184_2184_4632 4077_1144_4077_1144_4077 1144_4077_4077_1144_4077 4077_4077_1144_4077_4077 5820_2184_2184_2184_4632 2184_4632_4632_4632_2184 4077_4077_1144_4077_4077 2184_4632_4632_4632_2184 4632_2184_2184_2184_4632 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 4632_2184_2184_2184_4632 2184_4632_4632_4632_2184 1144_4077_1144_5820_1144 4632_2184_2184_2184_4632 2184_4632_4632_4632_2184 4632_2184_2184_2184_4632 4632_2184_2184_2184_4632 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 2184_4632_4632_4632_2184 4632_2184_2184_2184_4632 1144_1144_4077_1144_1144 1144_1144_4077_1144_1144 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4_2_2_2_5 2_5_5_5_5 5_5_5_5_2 5_2_2_2_3 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
13,3131553,50670,3,1,2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 723_1097_1097_1097_1096 1097_1124_1124_1124_1207 1097_1096_1096_1096_1097 1100_1101_1101_1101_1220 1627_1540_1540_1540_1627 1134_1202_1202_1202_1134 114_116_116_7_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1207_1096_1096_1096_1097 1096_1097_1097_1097_1096 1096_1097_1097_1097_1096 1097_1096_1096_1096_1097 1097_1096_1096_1096_1097 1097_1124_1124_1124_1207 1207_1124_1124_1124_1207 1207_1124_1097_1097_1124 1097_1096_1096_1096_1097 7_119_119_119_119 3_3_3_3_4 4_3_4_4_3 3_4_4_3_4 4_3_3_3_4 3_2_2_2_3 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 5_2_2_5_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
14,3131647,56585,12,3,2_6_6_6_6 6_6_6_6_7 570_570_570_570_570 6148_2272_2272_2272_549 6148_2272_2272_2272_549 6145_3115_3115_3115_6145 547_6142_6142_6142_6141 966_966_966_966_966 2313_2328_2328_2328_2329 6140_6421_6421_6421_6155 6140_6421_6421_6421_6155 6421_6140_6140_6140_6421 6421_6140_6140_6140_6421 6152_2272_2272_2272_6146 1792_6150_6150_6150_549 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191,0
